original_tag,consolidated_tag,original_count,notes
Creative Inhibition Effect,Creative Design And Media,1,
Creative Time Reallocation,Creative Design And Media,1,
Creative Vision Gap,Creative Design And Media,1,
Critical Thinking Erosion Concern,Cognitive Support Patterns,1,
Critical Thinking Tool,Cognitive Support Patterns,1,
Cross-Context Life Understanding,Memory And Context Continuity,1,
Cross-Conversation Memory Gap,Memory And Context Continuity,1,
Cross-Device Fragmentation,System Fragmentation And Interoperability,1,
Cross-Reference Desired,Search And Research,1,
Cross-System Integration,Data And System Integration,1,
Cultural Technology Analysis,Cognitive Support Patterns,1,
Cumulative Error Sensitivity,Usage And Adoption Patterns,1,
Curiosity Driven Exploration,Learning And Discovery,1,
Current Tool Limitations,Tool Reliability And Limitations,1,
Current Tools Adequate,Current Tool Sufficiency,1,
Customer Care Nuance,Professional Workflow Support,1,
Cybersecurity Fear,Privacy And Security,1,
DALL-E Alternative Attempt,Creative Design And Media,1,
DIY Image Assessment,Home And DIY Support,1,
DIY Material Guidance Need,Home And DIY Support,1,
Daily Summary Email Request,Email Management,1,
Dashboard Vision,Personalization And Adaptation,1,
Data Aggregation Mismatch,Usage And Adoption Patterns,1,
Data Analysis And Presentation,Creative Design And Media,1,
Data Connection Gap,Tool Reliability And Limitations,1,
Data Integration And Cross Reference,Search And Research,1,
Data Integration For Analysis,Data And System Integration,1,
Data Integration Need,Data And System Integration,1,
Data Interpretation Failure,Tool Reliability And Limitations,1,
Data Privacy Non-Negotiable,Privacy And Security,1,
Data Projection Planning,Usage And Adoption Patterns,1,
Data Retrospection And Advice,Usage And Adoption Patterns,1,
Data Transparency Requirement,Usage And Adoption Patterns,1,
Decision Bias Recognition,Ethics And Bias Concerns,1,
Decision Delegation Model,Automation And Delegation,1,
Decision Framework Support,Cognitive Support Patterns,1,
Decision Speed,Time And Productivity,1,
Decision-Making Support,Cognitive Support Patterns,1,
Dense Text Distillation,Usage And Adoption Patterns,1,
Depth Of Information Concern,Usage And Adoption Patterns,1,
Design System Constraint Failure,Creative Design And Media,1,
Design Task Usage,Creative Design And Media,1,
Desire For Contextual Continuity,Memory And Context Continuity,1,
Desire For Suggested Capabilities,Personalization And Adaptation,1,
Desire for Agent Capabilities,Personalization And Adaptation,1,
Detailed Itinerary Planning,Travel Planning,1,
Detailed Option Evaluation,Usage And Adoption Patterns,1,
Deviation Value Recognition,Usage And Adoption Patterns,1,
Device Reduction Goal,System Fragmentation And Interoperability,1,
Diagram Generation Frustration,Usage And Adoption Patterns,1,
Digital Legacy Through AI,Strategic AI Perspectives,1,
Dimension Accuracy Limitations,Accuracy And Hallucination Risk,1,
Direct Chat Speaking,Usage And Adoption Patterns,1,
Direct Control Preference,User Control And Safeguards,1,
Discovery Through Social,Learning And Discovery,1,
Diverse AI Usage Patterns,Cognitive Support Patterns,1,
Diverse Personal AI Use,Usage And Adoption Patterns,1,
Diverse Personal Use Cases,Usage And Adoption Patterns,1,
Document Summarization Utility,Usage And Adoption Patterns,1,
Domestic Automation Expectation,Automation And Delegation,1,
Dynamic Personalisation Delight,Personalization And Adaptation,1,
Ecological AI Restriction,Environmental Impact Concerns,1,
Ecological Avoidance Vacation,Environmental Impact Concerns,1,
Ecological Conviction Limits AI,Environmental Impact Concerns,1,
Ecosystem Integration Roadmap,Data And System Integration,1,
Educational Curiosity,Learning And Discovery,1,
Educational Design Focus,Creative Design And Media,1,
Efficiency As Core Motivation,Time And Productivity,1,
Efficiency Without Understanding Loss,Time And Productivity,1,
Email And Letter Writing,Email Management,1,
Email Autonomy Preference,Email Management,1,
Email Context Insight Discovery,Email Management,1,
Email Grammar Correction,Email Management,1,
Email Information Filtering,Email Management,1,
Email Integration Interest,Email Management,1,
Email Intelligence Filtering,Email Management,1,
Email Noise Reduction,Email Management,1,
Email Organization Desire,Email Management,1,
Email Organization Priority,Email Management,1,
Email Overload Problem,Email Management,1,
Email Overwhelm,Email Management,1,
Email Prioritization Need,Email Management,1,
Email Sending Automation,Email Management,1,
Email Sequence Automation Interest,Email Management,1,
Email Sequence Automation Need,Email Management,1,
Email Summarization Errors,Email Management,1,
Email Summarization Integration,Email Management,1,
Email Summarization Need,Email Management,1,
Email Summarization Use,Email Management,1,
Email Triage Burden,Email Management,1,
Email Voice Reply Preference,Voice Interaction Experience,1,
Emotional Decision Support,Emotional Support And Reflection,1,
Emotional Overwhelm Pattern,Time And Productivity,1,
Energy Consumption Awareness,Environmental Impact Concerns,1,
Energy Preservation Through AI,Usage And Adoption Patterns,1,
Equal Treatment of AI,Usage And Adoption Patterns,1,
Event Planning,Usage And Adoption Patterns,1,
Event Planning Assistance,Usage And Adoption Patterns,1,
Event Preparation Alerts,Calendar And Scheduling,1,
Event Preparation Reminders,Calendar And Scheduling,1,
Evidence Vetting Burden,Time And Productivity,1,
Example-Driven Thinking Aid,Cognitive Support Patterns,1,
Excel Charting Challenge,Usage And Adoption Patterns,1,
Exception Handling Expectation,Usage And Adoption Patterns,1,
Execution Planning,Usage And Adoption Patterns,1,
Exploratory Tool Testing,Usage And Adoption Patterns,1,
Face To Face Irreplaceability,Human Connection And Rapport,1,
Facial Emotion Detection,Usage And Adoption Patterns,1,
Facial Expression Absence Impact,Human Connection And Rapport,1,
Family Coordination Via AI,Task Organization And Prioritization,1,
Family Support Use Case,Usage And Adoption Patterns,1,
Faster Information Acquisition,Usage And Adoption Patterns,1,
Feedback Lag Barrier,Usage And Adoption Patterns,1,
File Size Limitation Frustration,Tool Reliability And Limitations,1,
Finance Use Case Potential,Financial Planning And Analysis,1,
Financial Guidance Need,Financial Planning And Analysis,1,
Financial Scenario Analysis,Financial Planning And Analysis,1,
Financial Tracking Need,Financial Planning And Analysis,1,
Flight Reliability Doubt,Usage And Adoption Patterns,1,
Focus Without Tangents,Usage And Adoption Patterns,1,
Follow-Up Value Acknowledgment,Proactive Assistance,1,
Formal Style Preference,Usage And Adoption Patterns,1,
Formal Tone Problem,Social And Relationship Communication,1,
Frequent Personal AI Use,Usage And Adoption Patterns,1,
Gamification For Engagement,Usage And Adoption Patterns,1,
Garden Task Planning,Home And DIY Support,1,
Gardening Knowledge Seeking,Home And DIY Support,1,
Gardening Project Planning,Home And DIY Support,1,
Generic Follow-Up Feeling,Proactive Assistance,1,
Global Intellectual Network,Usage And Adoption Patterns,1,
Goal-Aligned Prioritization,Task Organization And Prioritization,1,
Google Ecosystem Lock-In,Usage And Adoption Patterns,1,
Graduated Permissions Model,User Control And Safeguards,1,
Grammatical Problems In AI,Usage And Adoption Patterns,1,
Graphics And Content Creation,Creative Design And Media,1,
Grocery List Personalization,Recipes And Cooking Support,1,
Grocery Shopping Intelligence,Recipes And Cooking Support,1,
Habit Pattern Recognition Need,Personalization And Adaptation,2,
Habit-Based Proactive Actions,Proactive Assistance,1,
Hallucination Distrust,Accuracy And Hallucination Risk,1,
Hallucination Issue,Accuracy And Hallucination Risk,1,
Hallucination Risk Concern,Accuracy And Hallucination Risk,1,
Hands-Off Voice Interaction,Voice Interaction Experience,1,
Health And Logistics Support,Health And Wellness Support,1,
Health And Wellness Research,Health And Wellness Support,1,
Health Information Seeking,Health And Wellness Support,1,
Healthcare AI Accuracy Concern,Accuracy And Hallucination Risk,1,
Healthcare Planning Coordination,Health And Wellness Support,1,
Healthcare Trust Skepticism,Health And Wellness Support,1,
Hierarchy And Merit Preference,Strategic AI Perspectives,1,
High AI Trust,Trust And Verification,1,
High Leverage Opportunity Ideas,Usage And Adoption Patterns,1,
High Trust in AI Results,Trust And Verification,1,
Hobby Identification Tools,Learning And Discovery,1,
Hobby Learning Bootstrap,Learning And Discovery,1,
Holiday Planning Avoidance,Travel Planning,1,
Holistic Health Tracking Desire,Health And Wellness Support,1,
Holistic Interior Design Assistant,Creative Design And Media,1,
Holistic Life Domain Support,Strategic AI Perspectives,1,
Honesty Regardless Of Format,Usage And Adoption Patterns,1,
Hosting With Human Touch,Human Connection And Rapport,1,
Housework Automation Desire,Automation And Delegation,1,
Human Approval Before Action,User Control And Safeguards,1,
Human Authenticity And Connection,Human Connection And Rapport,1,
Human Authenticity Value,Human Connection And Rapport,1,
Human Cognitive Limitations In Listening,Tool Reliability And Limitations,1,
Human Connection Concern,Human Connection And Rapport,1,
Human Connection Irreplaceable,Human Connection And Rapport,2,
Human Contact Irreplaceability,Usage And Adoption Patterns,1,
Human Conversational Tone Expectation,Social And Relationship Communication,1,
Human Dialogue Preference,Social And Relationship Communication,2,
Human Dishonesty And Betrayal,Usage And Adoption Patterns,1,
Human Dishonesty Critique,Usage And Adoption Patterns,1,
Human Interaction Gap,Tool Reliability And Limitations,1,
Human Interaction Preference,Interaction Dynamics,1,
Human Interview Preference,AI Interview Experience,1,
Human Interview Skepticism,AI Interview Experience,1,
Human Interviewer Advantage,AI Interview Experience,2,
Human Nonverbal Communication Value,Human Connection And Rapport,1,
Human Rapport Trade-Off,Human Connection And Rapport,1,
Human Review Reassurance,User Control And Safeguards,1,
Human Touch Trust Barrier,Human Connection And Rapport,1,
Human Verification Preference,Accuracy And Hallucination Risk,1,
Human Voice Preference,Voice Interaction Experience,1,
Humanization Of AI Interface,Usage And Adoption Patterns,1,
Idea Capture Pain,Usage And Adoption Patterns,1,
Ideal 3D Visualization Feature,Creative Design And Media,1,
Ideal Task Automation,Automation And Delegation,1,
Ignored User Clarification,Prompting And Instruction Quality,1,
Image Generation Failure,Creative Design And Media,3,
Image Generation Frustration,Creative Design And Media,1,
Image Text Editing Limitation,Creative Design And Media,1,
Impulse Mitigation,Usage And Adoption Patterns,1,
In-Conversation Task Creation,Interaction Dynamics,1,
In-Depth Question Value,Usage And Adoption Patterns,1,
Inaccurate Math,Accuracy And Hallucination Risk,1,
Indirect Question Preference,Usage And Adoption Patterns,1,
Information Scope Limitation,Tool Reliability And Limitations,1,
Information Seeking Behavior,Search And Research,1,
Information Seeking Over Search,Search And Research,1,
Information Verification Awareness,Accuracy And Hallucination Risk,1,
Informed Consent For AI Interviews,Privacy And Security,1,
Initiative Fatigue,Proactive Assistance,1,
Input Customization For Planning,Usage And Adoption Patterns,1,
Insightful Follow Up Requirement,Proactive Assistance,1,
Integrated Workflow Needs,Personalization And Adaptation,1,
Integration Risk Aversion,Data And System Integration,1,
Integration Value Skepticism,Data And System Integration,1,
Intellectual Dialogue With Models,Social And Relationship Communication,1,
Intelligent Booking Assistance,Usage And Adoption Patterns,1,
Intelligent Content Curation,Content And Writing Support,1,
Intentional Imperfection Paradox,Tool Reliability And Limitations,1,
Intergenerational Connection Need,Personalization And Adaptation,1,
Interpersonal Context Gap,Memory And Context Continuity,1,
Interpersonal Deliberation Support,Social And Relationship Communication,1,
Interview Format Preference,AI Interview Experience,1,
Interview Prep Coaching,AI Interview Experience,1,
Investment Decision Support,Financial Planning And Analysis,1,
Invoice Admin Automation,Voice Interaction Experience,1,
Invoice Follow-up Administration,Voice Interaction Experience,1,
Iterative Code Assistance,Coding And Technical Support,1,
Iterative Narrowing Dialogue,Social And Relationship Communication,1,
Iterative Recipe Refinement,Recipes And Cooking Support,1,
Iterative Refinement Acceptance,Usage And Adoption Patterns,1,
Iterative Refinement Mindset,Usage And Adoption Patterns,1,
JARVIS Vision,Personalization And Adaptation,1,
Job Replacement Fear,Usage And Adoption Patterns,1,
Job Search Automation Feature,Search And Research,1,
Job Search Integration Interest,Search And Research,1,
Kids Activity Scheduling,Calendar And Scheduling,1,
Knitting Pattern AI Failure,Home And DIY Support,1,
Lack Of Conversational Flow,Interaction Dynamics,1,
Lack Of Immediate Feedback Adaptation,Personalization And Adaptation,1,
Lack Of Spontaneity In AI,Usage And Adoption Patterns,1,
Language Comfort Advantage,Usage And Adoption Patterns,1,
Language Comfort With AI Interview,AI Interview Experience,1,
Language Expression Accuracy Concern,Accuracy And Hallucination Risk,1,
Language Expression Issues,Usage And Adoption Patterns,1,
Learning By Example Preference,Learning And Discovery,1,
Learning Through Curiosity,Learning And Discovery,1,
Legal Contract Assessment,Usage And Adoption Patterns,1,
Less Intimidated By AI,Usage And Adoption Patterns,1,
Less Nervous With AI,Emotional Support And Reflection,1,
Less Nervous Without Human Presence,Emotional Support And Reflection,1,
Life Foresight And Planning,Usage And Adoption Patterns,1,
Life Situation Definition,Usage And Adoption Patterns,2,
Lifecycle Habit Scanning,Usage And Adoption Patterns,1,
Light Personal Use,Access And Adoption,1,
Limited Contextual Extension,Memory And Context Continuity,1,
Limited Personal Use,Usage And Adoption Patterns,1,
Limited Tool Integration,Data And System Integration,1,
LinkedIn Content Creation Need,Content And Writing Support,1,
Live Feedback Preference,Usage And Adoption Patterns,1,
Location Aware Recommendations,Shopping And Recommendations,1,
Loneliness And Digital Disconnection,Usage And Adoption Patterns,1,
Loss Of Community Play,Usage And Adoption Patterns,1,
Low Tool Research Effort,Search And Research,1,
Low Trust In AI Results,Trust And Verification,1,
Machine Identity Clarity Important,Usage And Adoption Patterns,1,
Machine Interaction Disconnect,Interaction Dynamics,1,
Machine Transparency Preference,Usage And Adoption Patterns,1,
Maintain Meaning,Usage And Adoption Patterns,1,
Male Voice Authority Preference,Voice Interaction Experience,1,
Manual Control Preference,User Control And Safeguards,1,
Manual Override More Efficient,Usage And Adoption Patterns,1,
Manual Workaround,Usage And Adoption Patterns,1,
Marketing Assessment,Professional Workflow Support,1,
Material And Tool Guidance,Home And DIY Support,1,
Material-Specific Gap,Home And DIY Support,1,
Meal Decision Automation,Recipes And Cooking Support,1,
Meal Planning Burden,Recipes And Cooking Support,1,
Meal Planning Support,Recipes And Cooking Support,1,
Mechanical Interaction Difference,Interaction Dynamics,1,
Mechanical Tone Response Mirror,Social And Relationship Communication,1,
Medical Decision Support,Health And Wellness Support,2,
Medical Insight Seeking,Health And Wellness Support,1,
Medical Pattern Recognition Need,Health And Wellness Support,1,
Medical Privacy Barrier,Privacy And Security,1,
Memory And Context,Memory And Context Continuity,1,
Memory Continuity Need,Memory And Context Continuity,1,
Memory Persistence Need,Memory And Context Continuity,1,
Mental Health AI Support,Health And Wellness Support,1,
Mental Load Management Need,Personalization And Adaptation,1,
Message Conciseness,Content And Writing Support,1,
Midjourney Creative Process,Creative Design And Media,1,
Mirror Not Relationship,Social And Relationship Communication,1,
Misinterpretation And Degradation,Usage And Adoption Patterns,1,
Missed Email Management Feature,Email Management,1,
Missing Context Integration,Memory And Context Continuity,1,
Missing Social Cues,Social And Relationship Communication,1,
Missing Warmth In AI Interview,AI Interview Experience,1,
Mobile AI Access Gap,Tool Reliability And Limitations,1,
Mobile Access Gap,Tool Reliability And Limitations,1,
Mobile Writing Tools,Content And Writing Support,1,
Model Hallucination Awareness,Accuracy And Hallucination Risk,1,
Moderate AI Trust,Trust And Verification,1,
Moderate Trust Assessment,Trust And Verification,1,
Moderate Trust In AI,Trust And Verification,2,
Moderate Trust Level,Trust And Verification,7,
Moderate Trust Stance,Trust And Verification,1,
Moderation Surprise Acceptance,Usage And Adoption Patterns,1,
Modern Life Pressure And Exhaustion,Usage And Adoption Patterns,1,
Monologue Effect,Human Connection And Rapport,1,
Multi-App System Integration,Data And System Integration,1,
Multi-Domain Learning Pattern,Learning And Discovery,1,
Multi-Domain Task Management,Task Organization And Prioritization,1,
Multi-Email Integration Need,Email Management,1,
Multi-Format Resource Expectation,Usage And Adoption Patterns,1,
Multi-Parameter Trip Planning,Travel Planning,1,
Multi-Platform Availability,Access And Adoption,1,
Multi-Platform Integration Needed,Data And System Integration,1,
Multi-System Integration,Data And System Integration,1,
Multimedia Content Creation,Content And Writing Support,1,
Multimedia Content Gap,Content And Writing Support,1,
Multimodal Interaction Preference,Interaction Dynamics,1,
Multimodal Resource Integration,Data And System Integration,1,
Multiple Questions Per Prompt,Prompting And Instruction Quality,1,
Music Recommendation Capability,Shopping And Recommendations,1,
Narrow Solution Framing,Usage And Adoption Patterns,1,
Need For Human Context,Memory And Context Continuity,1,
News Source Preference,Search And Research,1,
Newsletter Content Enhancement,Email Management,1,
No Body Language Concern,Usage And Adoption Patterns,1,
No Current Tool Limitations,Tool Reliability And Limitations,1,
No Judgment From AI,Emotional Support And Reflection,1,
No Personal AI Use,Access And Adoption,1,
No Pressure To Impress AI,Usage And Adoption Patterns,1,
No System Integration Ideas,Data And System Integration,1,
No Unmet AI Needs,Personalization And Adaptation,1,
Non-Judgmental AI Perception,Emotional Support And Reflection,1,
Non-Judgmental Sharing Space,Emotional Support And Reflection,1,
Nonverbal Communication Gap,Human Connection And Rapport,1,
Nostalgia For Community Play,Usage And Adoption Patterns,1,
Nuance Complexity Barrier,Usage And Adoption Patterns,1,
Objective Decision Seeking,Cognitive Support Patterns,1,
